#,Name,Types,Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Generation,Legendary
787,Tapu Bulu,GrassFairy,570,70,130,115,85,95,75,7,0
788,Tapu Fini,WaterFairy,570,70,75,115,95,130,85,7,0
789,Cosmog,Psychic,200,43,29,31,29,31,37,7,0
790,Cosmoem,Psychic,400,43,29,131,29,131,37,7,0
791,Solgaleo,PsychicSteel,680,137,137,107,113,89,97,7,1
792,Lunala,PsychicGhost,680,137,113,89,137,107,97,7,1
793,Nihilego,RockPoison,570,109,53,47,127,131,103,7,0
794,Buzzwole,BugFighting,570,107,139,139,53,53,79,7,0
795,Pheromosa,BugFighting,570,71,137,37,137,37,151,7,0
796,Xurkitree,Electric,570,83,89,71,173,71,83,7,0
797,Celesteela,SteelFlying,570,97,101,103,107,101,61,7,0
798,Kartana,GrassSteel,570,59,181,131,59,31,109,7,0
799,Guzzlord,DarkDragon,570,223,101,53,97,53,43,7,0
800,Necrozma,Psychic,600,97,107,101,127,89,79,7,1
800,Dusk Mane Necrozma,PsychicSteel,680,97,157,127,113,109,77,7,1
800,Dawn Wings Necrozma,PsychicGhost,680,97,113,109,157,127,77,7,1
800,Ultra Necrozma,PsychicDragon,754,97,167,97,167,97,129,7,1
801,Magearna,SteelFairy,600,80,95,115,130,115,65,7,0
802,Marshadow,FightingGhost,600,90,125,80,90,90,125,7,0
803,Poipole,Poison,420,67,73,67,73,67,73,7,0
804,Naganadel,PoisonDragon,540,73,73,73,127,73,121,7,0
805,Stakataka,RockSteel,570,61,131,211,53,101,13,7,0
806,Blacephalon,FireGhost,570,53,127,53,151,79,107,7,0
807,Zeraora,Electric,600,88,112,75,102,80,143,7,1
808,Meltan,Steel,300,46,65,65,55,35,34,7,0
809,Melmetal,Steel,600,135,143,143,80,65,34,7,0
810,Grookey,Grass,310,50,65,50,40,40,65,8,0
811,Thwackey,Grass,420,70,85,70,55,60,80,8,0
812,Rillaboom,Grass,530,100,125,90,60,70,85,8,0
813,Scorbunny,Fire,310,50,71,40,40,40,69,8,0
814,Raboot,Fire,420,65,86,60,55,60,94,8,0
815,Cinderace,Fire,530,80,116,75,65,75,119,8,0
816,Sobble,Water,310,50,40,40,70,40,70,8,0
817,Drizzile,Water,420,65,60,55,95,55,90,8,0
818,Inteleon,Water,530,70,85,65,125,65,120,8,0
819,Skwovet,Normal,275,70,55,55,35,35,25,8,0
820,Greedent,Normal,460,120,95,95,55,75,20,8,0
821,Rookidee,Flying,245,38,47,35,33,35,57,8,0
822,Corvisquire,Flying,365,68,67,55,43,55,77,8,0
823,Corviknight,FlyingSteel,495,98,87,105,53,85,67,8,0
824,Blipbug,Bug,180,25,20,20,25,45,45,8,0
825,Dottler,BugPsychic,335,50,35,80,50,90,30,8,0
826,Orbeetle,BugPsychic,505,60,45,110,80,120,90,8,0
827,Nickit,Dark,245,40,28,28,47,52,50,8,0
828,Thievul,Dark,455,70,58,58,87,92,90,8,0
829,Gossifleur,Grass,250,40,40,60,40,60,10,8,0
830,Eldegoss,Grass,460,60,50,90,80,120,60,8,0
831,Wooloo,Normal,270,42,40,55,40,45,48,8,0
832,Dubwool,Normal,490,72,80,100,60,90,88,8,0
833,Chewtle,Water,284,50,64,50,38,38,44,8,0
834,Drednaw,WaterRock,485,90,115,90,48,68,74,8,0
835,Yamper,Electric,270,59,45,50,40,50,26,8,0
836,Boltund,Electric,490,69,90,60,90,60,121,8,0
837,Rolycoly,Rock,240,30,40,50,40,50,30,8,0
838,Carkol,RockFire,410,80,60,90,60,70,50,8,0
839,Coalossal,RockFire,510,110,80,120,80,90,30,8,0
840,Applin,GrassDragon,260,40,40,80,40,40,20,8,0
841,Flapple,GrassDragon,485,70,110,80,95,60,70,8,0
842,Appletun,GrassDragon,485,110,85,80,100,80,30,8,0
843,Silicobra,Ground,315,52,57,75,35,50,46,8,0
844,Sandaconda,Ground,510,72,107,125,65,70,71,8,0
845,Cramorant,FlyingWater,475,70,85,55,85,95,85,8,0
846,Arrokuda,Water,280,41,63,40,40,30,66,8,0
847,Barraskewda,Water,490,61,123,60,60,50,136,8,0
848,Toxel,ElectricPoison,242,40,38,35,54,35,40,8,0
849,Toxtricity,ElectricPoison,502,75,98,70,114,70,75,8,0
850,Sizzlipede,FireBug,305,50,65,45,50,50,45,8,0
851,Centiskorch,FireBug,525,100,115,65,90,90,65,8,0
852,Clobbopus,Fighting,310,50,68,60,50,50,32,8,0
853,Grapploct,Fighting,480,80,118,90,70,80,42,8,0
854,Sinistea,Ghost,308,40,45,45,74,54,50,8,0
855,Polteageist,Ghost,508,60,65,65,134,114,70,8,0
856,Hatenna,Psychic,265,42,30,45,56,53,39,8,0
857,Hattrem,Psychic,370,57,40,65,86,73,49,8,0
858,Hatterene,PsychicFairy,510,57,90,95,136,103,29,8,0
859,Impidimp,DarkFairy,265,45,45,30,55,40,50,8,0
860,Morgrem,DarkFairy,370,65,60,45,75,55,70,8,0
861,Grimmsnarl,DarkFairy,510,95,120,65,95,75,60,8,0
862,Obstagoon,DarkNormal,520,93,90,101,60,81,95,8,0
863,Perrserker,Steel,440,70,110,100,50,60,50,8,0
864,Cursola,Ghost,510,60,95,50,145,130,30,8,0
865,Sirfetch'd,Fighting,507,62,135,95,68,82,65,8,0
866,Mr.Rime,IcePsychic,520,80,85,75,110,100,70,8,0
867,Runerigus,GroundGhost,483,58,95,145,50,105,30,8,0
868,Milcery,Fairy,270,45,40,40,50,61,34,8,0
869,Alcremie,Fairy,495,65,60,75,110,121,64,8,0
870,Falinks,Fighting,470,65,100,100,70,60,75,8,0
871,Pincurchin,Electric,435,48,101,95,91,85,15,8,0
872,Snom,IceBug,185,30,25,35,45,30,20,8,0
873,Frosmoth,IceBug,475,70,65,60,125,90,65,8,0
874,Stonjourner,Rock,470,100,125,135,20,20,70,8,0
875,Eiscue Ice Face,Ice,470,75,80,110,65,90,50,8,0
875,Eiscue Noice Face,Ice,470,75,80,70,65,50,130,8,0
876,Indeedee Male,PsychicNormal,475,60,65,55,105,95,95,8,0
876,Indeedee Female,PsychicNormal,475,70,55,65,95,105,85,8,0
877,Morpeko,ElectricDark,436,58,95,58,70,58,97,8,0
878,Cufant,Steel,330,72,80,49,40,49,40,8,0
879,Copperajah,Steel,500,122,130,69,80,69,30,8,0
880,Dracozolt,ElectricDragon,505,90,100,90,80,70,75,8,0
881,Arctozolt,ElectricIce,505,90,100,90,90,80,55,8,0
882,Dracovish,WaterDragon,505,90,90,100,70,80,75,8,0
883,Arctovish,WaterIce,505,90,90,100,80,90,55,8,0
884,Duraludon,SteelDragon,535,70,95,115,120,50,85,8,0
885,Dreepy,DragonGhost,270,28,60,30,40,30,82,8,0
886,Drakloak,DragonGhost,410,68,80,50,60,50,102,8,0
887,Dragapult,DragonGhost,600,88,120,75,100,75,142,8,0
888,Zacian Hero of Many Battles,Fairy,670,92,130,115,80,115,138,8,1
888,Zacian Crowned Sword,FairySteel,720,92,170,115,80,115,148,8,1
889,Zamazenta Hero of Many Battles,Fighting,670,92,130,115,80,115,138,8,1
889,Zamazenta Crowned Shield,FightingSteel,720,92,130,145,80,145,128,8,1
890,Eternatus,PoisonDragon,690,140,85,95,145,95,130,8,1
890,Eternamax Eternatus,PoisonDragon,1125,255,115,250,125,250,130,8,1
891,Kubfu,Fighting,385,60,90,60,53,50,72,8,0
892,Urshifu Single Strike Style,FightingDark,550,100,130,100,63,60,97,8,0
892,Urshifu Rapid Strike Style,FightingWater,550,100,130,100,63,60,97,8,0
893,Zarude,DarkGrass,600,105,120,105,70,95,105,8,0
